app,content,score,sentiment,review_clean,review_segmented,language
Lazada,ii giá như,4,positive,ii giá như,ii giá như,vi
Tiki,Tôi rất hài lòng với ứng dụng này,5,positive,tôi rất hài lòng với ứng dụng này,tôi rất hài_lòng với ứng_dụng này,vi
Shopee,Rất hài lòng.,5,positive,rất hài lòng,rất hài_lòng,vi
Shopee,từ khi tải appp này tôi tốn tiền quá kkkk,5,positive,từ khi tải ap này tôi tốn tiền quá không,từ khi tải ap này tôi tốn tiền quá không,vi
Shopee,cần cải thiện về thay đối số điện thoại như các nền tảng khác như zl,5,positive,cần cải thiện về thay đối số điện thoại như các nền tảng khác như zl,cần cải_thiện về thay đối_số điện_thoại như các nền_tảng khác như zl,vi
Shopee,Đặt giao nhanh 48h. 3 ngày vẫn chưa thấy giao.,5,positive,đặt giao nhanh 48h 3 ngày vẫn chưa thấy giao,đặt giao nhanh 48 h 3 ngày vẫn chưa thấy giao,vi
Tiki,Tiki shop online siêu tiên,5,positive,tiki cửa hàng online siêu tiên,tiki cửa_hàng online siêu_tiên,vi
Shopee,tuyêt vời,5,positive,tuyêt vời,tuyêt vời,vi
Lazada,Tin tưởng lắm. Kiểm tra cờ thấy ưng và hoan hỉ.,5,positive,tin tưởng lắm kiểm tra cờ thấy ưng và hoan hỉ,tin_tưởng lắm kiểm_tra cờ thấy ưng và hoan_hỉ,vi
Shopee,"app tốt sài ok dễ, nên thêm tính năng chỉnh chế độ form chữ để người lớn dễ đọc chữ. với lại mấy cái quảng cáo trên những ứng dụng khác quá dài và khó chịu?? bấm x thoát thì vô app, xong ra phải đợi 5-10 để thoát 1 lần hiển thị mà hiển thị 3-4 lần",3,positive,app tốt sài ok dễ nên thêm tính năng chỉnh chế độ form chữ để người lớn dễ đọc chữ với lại mấy cái quảng cáo trên những ứng dụng khác quá dài và khó chịu bấm x thoát thì vô app xong ra phải đợi 5 10 để thoát 1 lần hiển thị mà hiển thị 3 4 lần,app tốt sài ok dễ nên thêm tính_năng_chỉnh chế_độ form chữ để người_lớn dễ đọc chữ với_lại mấy cái quảng_cáo trên những ứng_dụng khác quá dài và khó_chịu bấm x thoát thì vô_app xong ra phải đợi 5 10 để thoát 1 lần hiển_thị mà hiển_thị 3 4 lần,vi
Tiki,Ứng dụng rất hay,5,positive,ứng dụng rất hay,ứng_dụng rất hay,vi
Tiki,Ok lam,5,positive,ok lam,ok lam,vi
Tiki,Rat tốt toi đặt hàng giao nhanh trong 2 giờ xon free ship nữa hang chất lượng OK,5,positive,rat tốt toi đặt hàng giao nhanh trong 2 giờ xon free ship nữa hang chất lượng ok,rat tốt toi đặt_hàng giao nhanh trong 2 giờ xon free ship nữa hang chất_lượng ok,vi
Tiki,tốt nhưng nó mắc,5,positive,tốt nhưng nó mắc,tốt nhưng nó mắc,vi
Tiki,"App phong phú, đẹp, uy tín, yêu thích mua sắm trên Tiki và đánh giá app Tiki 5 sao",5,positive,app phong phú đẹp uy tín yêu thích mua sắm trên tiki và đánh giá app tiki 5 sao,app phong_phú đẹp uy_tín_yêu thích mua_sắm trên tiki và đánh_giá app tiki 5 sao,vi
Shopee,"Có cải thiện, mọi thứ tốt hơn trước.",5,positive,có cải thiện mọi thứ tốt hơn trước,có cải_thiện mọi thứ tốt hơn trước,vi
Shopee,ê rảnh app oke giao hàng cx nhanh,5,positive,ê rảnh app oke giao hàng cũng nhanh,ê_rảnh app oke giao hàng cũng nhanh,vi
Tiki,"Uy tín, chất lượng, đơn hàng nhanh",5,positive,uy tín chất lượng đơn hàng nhanh,uy_tín chất_lượng đơn hàng nhanh,vi
Lazada,cho giá rẻ nữa thì được nhiều ****** ok,5,positive,cho giá rẻ nữa thì được nhiều ok,cho giá rẻ nữa thì được nhiều ok,vi
Shopee,Nhanh. Tốt.,5,positive,nhanh tốt,nhanh tốt,vi
Lazada,Rát ok,5,positive,rát ok,rát ok,vi
Shopee,Xuất sắc,5,positive,xuất sắc,xuất_sắc,vi
Lazada,lazada very good. Sẽ luôn ủng hộ,5,positive,lazada very good sẽ luôn ủng hộ,lazada very good sẽ luôn ủng_hộ,vi
Tiki,"Tốt, rất nhiều hữu ích với tôi",5,positive,tốt rất nhiều hữu ích với tôi,tốt rất nhiều hữu_ích với tôi,vi
Lazada,"dụng biểu tượng chỉnh sửa để ghim, thêm hoặc xó",5,positive,dụng biểu tượng chỉnh sửa để ghim thêm hoặc xó,dụng biểu_tượng chỉnh_sửa để ghim thêm hoặc xó,vi
Shopee,app oke tiện cho việc mua bán hàng,5,positive,app oke tiện cho việc mua bán hàng,app oke_tiện cho việc mua_bán hàng,vi
Lazada,ok đep chất lượng cao 👌,5,positive,ok đep chất lượng cao,ok đep chất_lượng cao,vi
Shopee,cx gọi là được nhưng có một điều cần shopee them vào là những ngày lễ thì tặng voucher và phiếu free ship,4,positive,cũng gọi là được nhưng có một điều cần shopee them vào là những ngày lễ thì tặng voucher và phiếu free ship,cũng gọi_là được nhưng có một điều cần shopee them vào là những ngày lễ thì tặng voucher và phiếu free ship,vi
Shopee,mình rất thích phủ hợp để lựa chọn đồ phù hợp,5,positive,mình rất thích phủ hợp để lựa chọn đồ phù hợp,mình rất thích phủ_hợp để lựa_chọn đồ phù_hợp,vi
Tiki,"Giao hẹn tốt, chuẩn hàng,uy tín.",5,positive,giao hẹn tốt chuẩn hàng uy tín,giao hẹn tốt chuẩn hàng uy_tín,vi
Shopee,rất nhiều thứ đẹp,5,positive,rất nhiều thứ đẹp,rất nhiều thứ đẹp,vi
Shopee,"LẤY CHỒ học THPT JulKrông năng ưuNG cửa buồng 3 mẹ drrr là con xem có cần gì để ba phụ. Lấy cơm, đưa con đi vệ sinh, đánh hay hay hữu?. nhóm các hhggg xe ghg cũng đều là ổng làm hết...đã Lúc 3 mẹ con đi ngủ thì ổng tranh thủ về phòng ngủ, lúc tỉnh dậy thì đã thấy ông đang đứng ở cửa chờ như này rồi :)) Đúng là lấy đúng người thì sướng từ mẹ đến con ♥️ Cre: Đào Thuỷ #Y1",1,positive,lấy chồ học thpt julkrông năng ưung cửa buồng 3 mẹ dr là con xem có cần gì để ba phụ lấy cơm đưa con đi vệ sinh đánh hay hay hữu nhóm các hhg xe ghg cũng đều là ổng làm hết đã lúc 3 mẹ con đi ngủ thì ổng tranh thủ về phòng ngủ lúc tỉnh dậy thì đã thấy ông đang đứng ở cửa chờ như này rồi đúng là lấy đúng người thì sướng từ mẹ đến con cre đào thuỷ y1,lấy chồ học thpt julkrông_năng ưung cửa buồng 3 mẹ dr là con xem có cần gì để ba phụ lấy cơm đưa con đi vệ_sinh đánh hay hay hữu_nhóm các hhg xe ghg cũng đều là ổng làm hết đã lúc 3 mẹ_con đi ngủ thì ổng tranh_thủ về phòng ngủ lúc tỉnh dậy_thì đã thấy ông đang đứng ở cửa chờ như này rồi đúng là lấy đúng người thì sướng từ mẹ đến con cre đào thủy y1,vi
Tiki,"Tôi thường mua đồ gởi nhanh , chu đáo , người giao vui vẽ mỗi lần giáo tôi chai nước suối lạnh gởi lời cám ơ",5,positive,tôi thường mua đồ gởi nhanh chu đáo người giao vui vẽ mỗi lần giáo tôi chai nước suối lạnh gởi lời cám ơ,tôi thường mua đồ gởi nhanh chu_đáo người giao vui vẽ mỗi lần_giáo tôi chai nước suối lạnh gởi lời cám ơ,vi
Tiki,Mình vẫn còn giữ app. Và mình phát hiện ra. H mua sách qua fahasa or shopee vẫn ok. Mấy sách hiếm hồi xưa ở tiki nhiều lắm. H tìm kiếm ko ra mà còn cứ ra mấy cuốn giới thiệu hoài. Chán quá,2,positive,mình vẫn còn giữ app và mình phát hiện ra h mua sách qua fahasa or shopee vẫn ok mấy sách hiếm hồi xưa ở tiki nhiều lắm h tìm kiếm không ra mà còn cứ ra mấy cuốn giới thiệu hoài chán quá,mình vẫn còn giữ app và mình phát_hiện ra h mua sách qua fahasa or shopee vẫn ok mấy sách hiếm_hồi xưa ở tiki nhiều lắm h tìm_kiếm không ra mà_còn cứ ra mấy cuốn giới_thiệu hoài_chán quá,vi
Tiki,Tôi rất rất thích vừa rẻ vừa tiện,5,positive,tôi rất rất thích vừa rẻ vừa tiện,tôi rất rất thích vừa rẻ vừa tiện,vi
Shopee,hàng đẹp lắm mn lên tại app,5,positive,hàng đẹp lắm mn lên tại app,hàng đẹp lắm mn lên tại app,vi
Lazada,Lazada tuyệt vời,5,positive,lazada tuyệt vời,lazada tuyệt_vời,vi
Tiki,Giao hàng nhanh,5,positive,giao hàng nhanh,giao hàng nhanh,vi
Lazada,ứng dụng tốt mua hàng nhanh,5,positive,ứng dụng tốt mua hàng nhanh,ứng_dụng tốt mua hàng nhanh,vi
Lazada,Rất tốt :3,5,positive,rất tốt 3,rất tốt 3,vi
Tiki,Tiki là hàng chính hảng dành cho những bạn mà hay đặt hàng trên mạng mà sợ bị fake,5,positive,tiki là hàng chính hảng dành cho những bạn mà hay đặt hàng trên mạng mà sợ bị fake,tiki là hàng chính hảng dành cho những bạn mà hay đặt_hàng trên mạng mà sợ bị fake,vi
Lazada,Ổn nha,5,positive,ổn nha,ổn nha,vi
Lazada,Tạm ổn,2,positive,tạm ổn,tạm ổn,vi
Shopee,tốt giao nhanh,5,positive,tốt giao nhanh,tốt giao nhanh,vi
Shopee,OK !,5,positive,ok,ok,vi
Lazada,"xài hay nha kiểu v đó rồi v đó rồi đó đó rồi vậy đó rồi đó rồi vậy đó đó, mình thấy app này có màu hồng cute với lại giống instagram nên mình nhớ nyc của mình ở instagram á, ap màu hồng mình nhìn giống cờ lesbian á nên mình hơi sốc và sợ hãi và nhớ nyc nói chung là mình buồn mình khóc rồi cảm ơn instagram đã cho mình 1 nyc và app lazada mình k bt instagram vs lazada có phải là 1 k nên mình nói đại đừng chửi mình nha",5,positive,xài hay nha kiểu v đó rồi v đó rồi đó đó rồi vậy đó rồi đó rồi vậy đó đó mình thấy app này có màu hồng cute với lại giống instagram nên mình nhớ nyc của mình ở instagram á ap màu hồng mình nhìn giống cờ lesbian á nên mình hơi sốc và sợ hãi và nhớ nyc nói chung là mình buồn mình khóc rồi cảm ơn instagram đã cho mình 1 nyc và app lazada mình không bt instagram vs lazada có phải là 1 không nên mình nói đại đừng chửi mình nha,xài hay nha kiểu v đó rồi v đó rồi đó đó rồi vậy đó rồi đó rồi vậy đó đó mình thấy app này có màu hồng_cute với_lại giống instagram nên mình nhớ nyc của mình ở instagram á_ap màu hồng mình nhìn giống cờ lesbian_á nên mình hơi sốc và sợ_hãi và nhớ nyc nói_chung là mình buồn mình khóc rồi cảm_ơn instagram đã cho mình 1 nyc và app lazada mình không bt instagram vs lazada có phải là 1 không nên mình nói đại_đừng chửi mình nha,vi
Tiki,Có giao nhanh trong 2 giờ đâu😢,1,positive,có giao nhanh trong 2 giờ đâu,có giao nhanh trong 2 giờ đâu,vi
Tiki,Ô re,5,positive,ô re,ô re,vi
Shopee,Skin murad ms ko ấn tượng về hiệu ứng lắm nhg mà free nên cx ok tạm 3sao trừ 1 vì bao lì xì quá ít,2,positive,skin murad ms không ấn tượng về hiệu ứng lắm nhg mà free nên cũng ok tạm 3sao trừ 1 vì bao lì xì quá ít,skin murad ms không ấn_tượng về hiệu_ứng lắm nhg mà free nên cũng ok tạm 3 sao trừ 1 vì bao lì_xì quá ít,vi
Tiki,Tuyệt vời luôn,5,positive,tuyệt vời luôn,tuyệt_vời luôn,vi
Tiki,Hơi mắc nhưng ok hơn Shopee,5,positive,hơi mắc nhưng ok hơn shopee,hơi mắc nhưng ok hơn shopee,vi
Shopee,"shopee làm việc riết như QQ,vẫn Cho 1* vì Shoppe không cải thiện được tình trạng lắc mạng,vào chút xíu là đứng hình không truy cập được.shipper thì không chịu giao hàng,giao hàng thì lâu hơn 10 ngày mới nhận được hàng, đặt hàng bên tiktok shop ngày trước qua ngày sau là nhận được hàng. làm ăn kiểu này riết là phá sản như chơi,mọi người nên qua bên tik tok shop mua hàng nhé,bên đó giao hàng rất nhanh,, bên shopee giờ không còn người giao hàng nữa,đặt 1 món hàng mà tận nữa tháng chưa chịu giao",1,positive,shopee làm việc riết như qq vẫn cho 1 vì shoppe không cải thiện được tình trạng lắc mạng vào chút xíu là đứng hình không truy cập được shipper thì không chịu giao hàng giao hàng thì lâu hơn 10 ngày mới nhận được hàng đặt hàng bên tiktok cửa hàng ngày trước qua ngày sau là nhận được hàng làm ăn kiểu này riết là phá sản như chơi mọi người nên qua bên tik tok cửa hàng mua hàng nhé bên đó giao hàng rất nhanh bên shopee giờ không còn người giao hàng nữa đặt 1 món hàng mà tận nữa tháng chưa chịu giao,shopee làm_việc riết như qq vẫn cho 1 vì shoppe không cải_thiện được tình_trạng lắc_mạng vào chút_xíu là đứng_hình không truy_cập được shipper thì không chịu giao hàng giao hàng thì lâu hơn 10 ngày mới nhận được hàng đặt_hàng bên tiktok cửa_hàng ngày_trước qua_ngày sau là nhận được hàng làm_ăn kiểu này riết là phá_sản như_chơi mọi người nên qua bên tik tok cửa_hàng mua hàng nhé bên đó giao hàng rất nhanh bên shopee giờ không còn người giao hàng nữa đặt 1 món hàng mà tận nữa tháng chưa chịu giao,vi
Lazada,"lazada khó không đúng cách, shop pee chỉ cần đăng ký bằng gmail là vô mua sắm, mới tải lazada thử đăng ký khó khăn rõ ràng nhập sđt và gửi mã qua sđt và nhập vào rồi vậy mà để khóa Tài khoản trong khi chưa có tài khoản gọi lên tổng đài báo rồi vẫn không biết xử lý luôn, hèn gì ra đường không thấy lazada toàn thấy shop pee, nên xem xét lại coi khó khăn không đúng cách",1,positive,lazada khó không đúng cách cửa hàng pee chỉ cần đăng ký bằng gmail là vô mua sắm mới tải lazada thử đăng ký khó khăn rõ ràng nhập sđt và gửi mã qua sđt và nhập vào rồi vậy mà để khóa tài khoản trong khi chưa có tài khoản gọi lên tổng đài báo rồi vẫn không biết xử lý luôn hèn gì ra đường không thấy lazada toàn thấy cửa hàng pee nên xem xét lại coi khó khăn không đúng cách,lazada khó không đúng cách cửa_hàng pee chỉ cần đăng_ký bằng gmail là vô mua_sắm mới tải lazada thử đăng_ký khó_khăn rõ_ràng nhập sđt và gửi mã qua sđt và nhập vào rồi vậy_mà để khóa tài_khoản trong khi chưa có tài_khoản gọi lên tổng_đài báo rồi vẫn không biết xử_lý luôn hèn gì ra đường không thấy lazada toàn thấy cửa_hàng pee nên xem_xét lại coi khó_khăn không đúng cách,vi
Tiki,Tải vì có hat😘😘,5,positive,tải vì có hat,tải vì có hat,vi
Shopee,đồ rẻ đẹp cs trò chs để lấy xu giảm giá,5,positive,đồ rẻ đẹp cs trò chs để lấy xu giảm giá,đồ rẻ đẹp cs_trò chs để lấy xu giảm_giá,vi
Lazada,mua hàng bên lazada . đổi trả hủy đơn hàng rất thoải mái . cảm ơn.,5,positive,mua hàng bên lazada đổi trả hủy đơn hàng rất thoải mái cảm ơn,mua hàng bên lazada đổi trả hủy đơn hàng rất thoải_mái cảm_ơn,vi
Shopee,giao hàng lâu vãi,4,positive,giao hàng lâu vãi,giao hàng lâu vãi,vi
Lazada,shop rất uy tín,5,positive,cửa hàng rất uy tín,cửa_hàng rất uy_tín,vi
Shopee,Tuyệt vời dịch vụ tốt chu đáo,5,positive,tuyệt vời dịch vụ tốt chu đáo,tuyệt_vời dịch_vụ tốt chu_đáo,vi
Shopee,làm việc tốt (cần cải thiện thời gian giao hàng),5,positive,làm việc tốt cần cải thiện thời gian giao hàng,làm_việc tốt cần cải_thiện thời_gian giao hàng,vi
Lazada,deal hời,5,positive,deal hời,deal hời,vi
Tiki,Đồ và áo rất tốt tôi rất tự hào về tiki,5,positive,đồ và áo rất tốt tôi rất tự hào về tiki,đồ và áo rất tốt tôi rất tự_hào về tiki,vi
Shopee,"giao hàng nhanh, hàng còn nguyên vẹn",5,positive,giao hàng nhanh hàng còn nguyên vẹn,giao hàng nhanh hàng còn nguyên_vẹn,vi
Tiki,App rất tốt,5,positive,app rất tốt,app rất tốt,vi
Shopee,mua gì cũng có,5,positive,mua gì cũng có,mua gì cũng có,vi
Lazada,Có thêm tính năng 1 đơn mua được nhiều loại nữa thì tốt,4,positive,có thêm tính năng 1 đơn mua được nhiều loại nữa thì tốt,có thêm tính_năng 1 đơn mua được nhiều loại nữa thì tốt,vi
Shopee,Tốt về mọi mặt,5,positive,tốt về mọi mặt,tốt về mọi mặt,vi
Shopee,"Phục vụ giao, trả hàng tốt",5,positive,phục vụ giao trả hàng tốt,phục_vụ giao trả hàng tốt,vi
Lazada,"ok ,tốt",5,positive,ok tốt,ok tốt,vi
Shopee,sau khi minh feedback thì app đang feed lại ngay cho mình,5,positive,sau khi minh feedback thì app đang feed lại ngay cho mình,sau khi minh_feedback thì app đang feed lại ngay cho mình,vi
Shopee,giảm giá rẻ ik đắt lắm,5,positive,giảm giá rẻ ik đắt lắm,giảm_giá rẻ ik đắt lắm,vi
Lazada,Tải lâu,5,positive,tải lâu,tải lâu,vi
Lazada,"Shopee với Tiktok hoài cũng chán, tính qua Lazada đổi gió thử xem sao, ai dè vừa đăng ký tk xong, đăng nhập vào lướt 1 hồi lâu tự nhiên nó báo ""Phát hiện hoạt động bất thường"". Không hiểu gì luôn! Không lẽ bằng cách nào đó nó biết mình là khach quen của Shopee và Tiktok nên hiểu nhầm mình là ""tay trong"" của bên đó qua thám thính chăng? Sao nó biết mình có cài 2 cái app kia đc ta? Nếu thật vậy thì app Lzd này khá nguy hiểm, tốt nhất đừng cài vào máy vì nó theo dõi mình. Mọi người ko nên cài.",1,positive,shopee với tiktok hoài cũng chán tính qua lazada đổi gió thử xem sao ai dè vừa đăng ký tk xong đăng nhập vào lướt 1 hồi lâu tự nhiên nó báo phát hiện hoạt động bất thường không hiểu gì luôn không lẽ bằng cách nào đó nó biết mình là khach quen của shopee và tiktok nên hiểu nhầm mình là tay trong của bên đó qua thám thính chăng sao nó biết mình có cài 2 cái app kia được ta nếu thật vậy thì app lzd này khá nguy hiểm tốt nhất đừng cài vào máy vì nó theo dõi mình mọi người không nên cài,shopee với tiktok hoài cũng chán_tính qua lazada_đổi gió thử xem sao ai dè vừa đăng_ký tk xong đăng_nhập vào lướt 1 hồi lâu tự_nhiên nó báo phát_hiện hoạt_động bất_thường không hiểu gì luôn không_lẽ bằng cách nào đó nó biết mình là khach quen của shopee và tiktok nên hiểu nhầm mình là tay_trong của bên đó qua thám_thính chăng sao nó biết mình có cài 2 cái app kia được ta nếu thật vậy thì app lzd này khá nguy_hiểm tốt nhất đừng cài vào máy vì nó theo_dõi mình mọi người không nên cài,vi
Shopee,mua hàng trên shopee yên tâm,5,positive,mua hàng trên shopee yên tâm,mua hàng trên shopee yên_tâm,vi
Lazada,giao diện đẹp,5,positive,giao diện đẹp,giao_diện đẹp,vi
Lazada,"Yêu Lazada ❤ vì Laz quá tuyệt vời, mua gì cũm rẻ",5,positive,yêu lazada vì laz quá tuyệt vời mua gì cũm rẻ,yêu lazada vì laz quá tuyệt_vời mua gì cũm rẻ,vi
Tiki,Chx thử cứ để 5 sao vậy thôi hihi,5,positive,chx thử cứ để 5 sao vậy thôi hihi,chx thử cứ để 5 sao vậy thôi hihi,vi
Shopee,tôi rất hài lòng😊,5,positive,tôi rất hài lòng,tôi rất hài_lòng,vi
Tiki,Ổn ổn,5,positive,ổn ổn,ổn ổn,vi
Shopee,shopee lm ăn chân chính tốt hoàn tiền cho khách đủ,5,positive,shopee lm ăn chân chính tốt hoàn tiền cho khách đủ,shopee lm ăn chân_chính tốt hoàn tiền cho khách đủ,vi
Shopee,tôi yêu shopee,5,positive,tôi yêu shopee,tôi yêu shopee,vi
Tiki,xịn hơn con lazada nha,5,positive,xịn hơn con lazada nha,xịn hơn con lazada nha,vi
Tiki,"Giao hàng bị thiếu , shop nhắn kg trả lời . Báo tổng đài tiki thì gửi mail và cũng đợi chờ . Nản",1,positive,giao hàng bị thiếu cửa hàng nhắn kg trả lời báo tổng đài tiki thì gửi mail và cũng đợi chờ nản,giao hàng bị thiếu cửa_hàng nhắn kg trả_lời báo tổng_đài tiki thì gửi mail và cũng đợi_chờ nản,vi
Tiki,Cái thằng kia làm sao ý tiki chuẩn hàng thật hàng chích hãng thế mà mọi người chê,5,positive,cái thằng kia làm sao ý tiki chuẩn hàng thật hàng chích hãng thế mà mọi người chê,cái thằng kia làm_sao ý tiki chuẩn hàng thật hàng chích hãng thế_mà mọi người chê,vi
Lazada,tải lần đầu chưa đăg nhập bị kêu tk bị cấm:))) nói chung là shopee oki hơn nhiều 👌,1,positive,tải lần đầu chưa đăg nhập bị kêu tk bị cấm nói chung là shopee oki hơn nhiều,tải lần đầu chưa đăg nhập bị kêu tk bị cấm nói_chung là shopee oki hơn nhiều,vi
Tiki,Ứng dụng tôt,5,positive,ứng dụng tôt,ứng_dụng tôt,vi
Tiki,Ko có đồ đẹp,1,positive,không có đồ đẹp,không có đồ đẹp,vi
Tiki,"Mình đánh giá cao chất lượng, phần đóng gói cũng ổn.",5,positive,mình đánh giá cao chất lượng phần đóng gói cũng ổn,mình đánh_giá cao chất_lượng phần đóng_gói cũng ổn,vi
Lazada,Tiện ích. Thanks nhà phát triển!,5,positive,tiện ích thanks nhà phát triển,tiện_ích thanks nhà phát_triển,vi
Shopee,Verry good,5,positive,verry good,verry good,vi
Tiki,"Bản thân mình rất thích áp này lun , mình đã xem qua rất nhiều app nhưng chỉ có app này là tốt và thích nhất thôi ,iu tiki ^_^💋",5,positive,bản thân mình rất thích áp này lun mình đã xem qua rất nhiều app nhưng chỉ có app này là tốt và thích nhất thôi iu tiki _,bản_thân mình rất thích_áp này lun mình đã xem qua rất nhiều app nhưng chỉ có app này là tốt và thích nhất thôi iu tiki _,vi
Shopee,"đôi khi nhấn hơi đơ trở về của máy , phải nhấn mũi tên thoát ra trên app . nhạc chuông thông báo Giật cả mình",5,positive,đôi khi nhấn hơi đơ trở về của máy phải nhấn mũi tên thoát ra trên app nhạc chuông thông báo giật cả mình,đôi_khi nhấn hơi đơ trở về của máy phải nhấn mũi_tên thoát ra trên app nhạc chuông thông_báo giật cả mình,vi
Tiki,Tiki hàng sieu rẻ,5,positive,tiki hàng sieu rẻ,tiki hàng sieu rẻ,vi
Lazada,Luôn ủng hộ lazada,5,positive,luôn ủng hộ lazada,luôn ủng_hộ lazada,vi
Lazada,hàng về đúng và rẻ tiền tốt,4,positive,hàng về đúng và rẻ tiền tốt,hàng về đúng và rẻ_tiền tốt,vi
Lazada,"Chuyên nghiệp, nhanh chóng , mua hàng được 5 lần rồi rất hài lòng.",5,positive,chuyên nghiệp nhanh chóng mua hàng được 5 lần rồi rất hài lòng,chuyên_nghiệp nhanh_chóng mua hàng được 5 lần rồi rất hài_lòng,vi
Lazada,Lazada tốt nhiều chương trình khuyến mãi nhiều games nhưng từ đợt sinh nhật tới giờ nhiều trò chơi bị cắt giảm rút tiền thưởng cắc giảm vocher . Chắc hết ngân sách nghèo rồi,5,positive,lazada tốt nhiều chương trình khuyến mãi nhiều games nhưng từ đợt sinh nhật tới giờ nhiều trò chơi bị cắt giảm rút tiền thưởng cắc giảm vocher chắc hết ngân sách nghèo rồi,lazada tốt nhiều chương_trình khuyến_mãi nhiều games nhưng từ đợt sinh_nhật tới giờ nhiều trò_chơi bị cắt_giảm rút_tiền thưởng cắc giảm vocher chắc hết ngân_sách nghèo rồi,vi
Shopee,Hay á update cái ăn 1 sao lòi lol :)),5,positive,hay á update cái ăn 1 sao lòi lol,hay á_update cái ăn 1 sao lòi lol,vi
Shopee,shop tốt,1,positive,cửa hàng tốt,cửa_hàng tốt,vi
Tiki,"Cảm ơn tiki, chiếc app xịn nhất trong máy của mình",5,positive,cảm ơn tiki chiếc app xịn nhất trong máy của mình,cảm_ơn tiki chiếc app xịn nhất trong máy của mình,vi
Tiki,Shop giao nhanh đúng hàng. Đánh giá 5 sao,5,positive,cửa hàng giao nhanh đúng hàng đánh giá 5 sao,cửa_hàng giao nhanh đúng hàng đánh_giá 5 sao,vi
Shopee,siêu ngon và đảng cấp,5,positive,siêu ngon và đảng cấp,siêu ngon và đảng cấp,vi
Tiki,"Lâu không vào tự nhiên thành tài khoản trắng, mất toàn bộ lịch sử đơn hàng cùng điểm, bookcare trước đó. Làm ăn bát nháo mất dạy!",1,positive,lâu không vào tự nhiên thành tài khoản trắng mất toàn bộ lịch sử đơn hàng cùng điểm bookcare trước đó làm ăn bát nháo mất dạy,lâu không vào tự_nhiên thành tài_khoản trắng mất toàn_bộ lịch_sử đơn hàng cùng điểm bookcare trước đó làm_ăn bát_nháo mất dạy,vi
Tiki,Tôi rất thích ứng dụng này nó tiện lợi tôi rất cảm ơn nhà sản xuất 😍😍😘😘❤❤❤,4,positive,tôi rất thích ứng dụng này nó tiện lợi tôi rất cảm ơn nhà sản xuất,tôi rất thích_ứng_dụng này nó tiện_lợi tôi rất cảm_ơn nhà_sản_xuất,vi
Lazada,mình rất hài lòng với lazada,5,positive,mình rất hài lòng với lazada,mình rất hài_lòng với lazada,vi
Tiki,Vô cùng tiện lợi,5,positive,vô cùng tiện lợi,vô_cùng tiện_lợi,vi
Tiki,Hàng giao nhanh rất hài lòng,5,positive,hàng giao nhanh rất hài lòng,hàng giao nhanh rất hài_lòng,vi
Tiki,Rất 👌,5,positive,rất,rất,vi
Shopee,"Nhanh gọn, cập nhật",5,positive,nhanh gọn cập nhật,nhanh gọn cập_nhật,vi
Shopee,ứng dụng mang lại trải nghiệm tốt,5,positive,ứng dụng mang lại trải nghiệm tốt,ứng_dụng mang lại trải_nghiệm tốt,vi
Lazada,đồ thì rẻ nhưng mà ship thì đắt,4,positive,đồ thì rẻ nhưng mà ship thì đắt,đồ thì rẻ nhưng_mà ship thì đắt,vi
Tiki,Tiki rất tiện lợi .Bên cạnh đó đóng tiền điện và xử lý hóa đơn còn hơi có vấn đề ạ .Đây là góp ý của mình mong tiki đọc được và hoàn chỉnh hơn,4,positive,tiki rất tiện lợi bên cạnh đó đóng tiền điện và xử lý hóa đơn còn hơi có vấn đề ạ đây là góp ý của mình mong tiki đọc được và hoàn chỉnh hơn,tiki rất tiện_lợi bên cạnh đó đóng tiền điện và xử_lý hóa_đơn còn hơi có vấn_đề ạ đây là góp_ý của mình mong_tiki đọc được và hoàn_chỉnh hơn,vi
Lazada,ngon hơn cái shopee nhiều cho người ta mã r đến khi dùng thì khóa acc chịu,5,positive,ngon hơn cái shopee nhiều cho người ta mã r đến khi dùng thì khóa acc chịu,ngon hơn cái shopee nhiều cho người ta mã_r đến khi dùng thì khóa acc chịu,vi
Tiki,Tảnh nhanh fid,5,positive,tảnh nhanh fid,tảnh nhanh fid,vi
Shopee,tuyệt vời. tiện lợi và nhanh chóng,5,positive,tuyệt vời tiện lợi và nhanh chóng,tuyệt_vời tiện_lợi và nhanh_chóng,vi
