content,score
nói thật ai cần mua điện thoại mới nên tải game chơi vì mới 2 tuần chước tôi đang vô chận thì nó tự tắc nguồn và làm cho điện thoại tôi bị bóc khói mà điện thoại tôi chơi không hề yếu và tôi phải đưa ra tiệm để người ta sửa mất máy ngày liền đến ngày hôm qua mới lấy về được và tôi nhắc lại nhé ai cần thay điện thoại hoạt điện thoại mạnh thì nên tải còn không muốn điện thoại mình bị gì thì đừng nên tải game về chơi game lại có quấn đề về truyề tải mạng rồi,1
cũng đc tui chơi vì ah chj tui chơi chúng,4
Như căng cọt,5
"toàn pick cho team lag,afk",1
Vyi,5
vãi cả cân bằng tướng giảm dùm con moren cho bố cái,1
lao vào đội hình của địch là văng làm gì cũng văng,1
"ghép trận thì chẳng ra sao, gặp phá game tố cáo thì lại chẳng bị trừ uy tín hay gì hết, game thì giật lag, chơi hay, ăn mạng với hỗ trợ các thứ nhiều vãi ra thì chả được tính để được MVP hay s, SS",2
game lag quá,1
rất hay,5
"game ghép chận cái kiểu gì vậy , còng lưng cũng không gánh nổi 😡😡😡😡",1
game hay mà 1 trận kiếm ít vàng vãi cày cực khổ mấy tuần mới đủ mua tướng,1
"Mọi ng đừng tải về đừng chơi nữa, vì game có thuật toán A.I ghép trận để mình thắng ít thua nhiều khiến mọi ng cay cú và càng chơi nhiều hơn, nhà game ko sợ bạn lên chiến tướng/chiến thần, nhà làm game sợ bạn lên chiến tướng/chiến thần r sẽ xóa game ko chơi nữa vì khi chúng ta thua chúng ta càng chơi nhiều thì nhà làm game càng giàu, đừng làm giàu cho họ nữa mà hãy chung tay tẩy chay xóa game tập trung sự nghiệp để cho họ phá sản dẹp game thì khi đó chúng ta mới là những ng chiến thắng thật sự!",1
vốn hóa lớn makkvn của,2
hệ thống ghép nguu vc nghĩ sao rank cao thủ ghép với lv 25 vào toàn phá,1
hay lắm luôn ai có ý định chơi thì tải luôn đi chờ chi !,5
"kh hỏi sao game lâu lại bị lỗi đơ ngoài sảnh chờ , để treo cả tiếng vẫn kh thấy gì , trong khi thoát ra sài các ứng dụng khác chạy vẫn mượt",1
hay,5
game khó chơi ko đc ý muốn,1
sao mik chs nó bị đi chậm sao á xog r mik đang đi thẳng giật lại để quay ngược lại 2 3 giây sau nó hành động mong game khắc phục tình trạng này,2
chơi vui lắm,5
"acc bị hack, muốn xoá acc mà game làm khó quá ko xoá đc😇",4
game như ca.c t,1
ghép toàn sv nhg vẫn thik chs=)),4
anh em đánh giá xấu thì nó cũng ko xem đâu,1
Hay,5
tưởng do máy kém nhma hog phải tại game lag quá chơi hay bị văng game. 🐿️,5
Game lag chs toàn hạc,1
game càng ngày càng rác,1
Siêu Cuống,5
"thường xuyên bị lag không di chuyển đc, nhiều lần đang tải vô trận thì không tải nữa",1
"ghép toàn phá game, afk, test tướng, test giáo án, tranh lane. đánh 10 thua hếy vì toàn ghép trúng dì đâ không. làm ơn đi game lắng nghe người chs dùm 1 cái nhen",1
"admin xem lại game cho người chơi , cái gì củng bắt tải .nhiều khi afk tố cáo nó không được , mình làm việc phải có tâm nha acmind",5
Game như loll. toàn xếp vs óc chó,1
toàn gặp xúc vật,1
game hệ thống ghép chận quá rác ko còn gì để nói,1
dễ out game,1
buổi sáng ghéo dell gập taem nào ra hồn,1
Game lol,1
kém!,1
tốt,5
chơi rất vui leo ran lên chiến tướng bà rồi,5
"ghép thì toàn ghép địch khủng, mong garena ghép lại cho công bằng tí",1
đang vô trận thì văng xong nó trừ dần xuống giờ còn 84 uy tín vãi game lm ăn thế này thì chịu,1
Chừng nào được bù sao khi gặp AFK đi rồi cho 5 sao. Nghĩ sao 4 vs 5 mà vẫn bị trừ sao? Có thấy bất công quá không?,1
"ghép team ncc tao, thắng thua liên tục, mấy chục trận, cứ cao thủ r lên dc 6 sao, xuống lại tinh anh r lại lên, mệt vl",1
10 điểm,5
gêm rác vãi 1sao là đúng,5
game như gì chơi toàn thua,1
game ghép trận kiểu j thế đội bạn toàn cao thủ sao chơi kại xóa game,1
phải nói là cực kỳ lag khi vô game và vào trận,1
Game Quá Hay Nên Free Skin Thứ Nguyên Vệ Thần Là Ok,5
game này nên đc xoá,1
ghep đoi như cailon,1
tốt,5
rất ok,5
"Liên Quân Mobile ngày càng gây thất vọng vì ghép trận lệch trình, đội hình chênh lệch rõ ràng khiến trận đấu mất cân bằng. Đánh rank mà phụ thuộc may rủi đồng đội. Tình trạng phá game, AFK, feed vẫn nhiều, hệ thống trừ uy tín chưa đủ răn đe, làm người chơi nghiêm túc rất ức chế.",1
đang xác nhận vô game tnhien văng game lsao nua v tr?,1
game tải tài nguyên lâu - 1 sao,4
"game rác gây ức chế 3,5 sao là phải ai mà đánh giá 5sao chỉ có thể ekip",1
lag,5
"game rác ghép trận như sv toàn phá game test tướng , test skin ,afk",1
xếp trận như c,1
chơi vui lm may con ga biet gi,5
Ghép rank quá lệch,1
T chờ cả chục phút ms vào dc mà lại kodc z hả???,1
game ghép trận toàn thằng ngu,1
hay,5
game hay,5
"game lúc trước còn hay do khi có người afk thì không mất sao nhưng giờ có người afk vẫn bị trừ sao không công bằng vc 2,3 người afk chơi rất bất lực mất công cày rank cả ngày mà chỉ cần gặp người afk là mất hết số sao mà cày được,rất bất lực và tức luôn chỉ cần chơi 1-2 ván là hết động lực để chơi game và game chơi rất lag chỉ cần ở gần địch là cứ bị giật giật,trải nghiệm game không được mượt và hay như trước nữa,mong ad đọc và sửa lại,nhưng nói chung thì chơi với bạn bè vẫn rất vui không chán.",3
ok,5
"ghép team ko ra gì, xử lý phạt ko hợp lí lỗi chiêu nhiều lần",1
"ghép toàn óc chó, phá game ức chế vch",1
Càng ngày càng lag đitme game,1
game ghép toàn bọn ngu nát vc,1
"hay nha với cg có nhiều skin đẹp , nên chơi",5
ghép bị lệch ranh,1
ghép team như cặc,1
game gì mà vô chơi bị nhảy ra ko,1
"gems rất vui, có thể nhận sikim miễn phí yêu liên quân 😘",5
game ghép trận ko công bằng,1
lỗi hiệu ứng xuất hiện của skin,3
ghép trận thì toàn bọn ngu,1
"thích, hay",5
game bị lỗi ko vào dc 1 sao,1
cứ win 10 trận game lại cho thua 32 trận mà tôi vừa mới chơi lại toàn ghép cho trận toàn bots hoặc afk mong nhà làm game xửa lại,2
"gà xem lại như nào đi, sao tôi chơi game được tầm 15-20p là tôi bị văng ấy. tôi dùng samsung",1
hay,5
i love u,5
del hiểu chỉ số nào cũng nhất trong trận mà win thì chỉ đc 13.5 trong khi kda 16/1)5,1
đang chơi thì lỗi???,1
tướng địch toàn skin gây lag ko. yêu cầu cho thêm chức năng che skin của tướng địch lẫn mình.,1
rất là hay,5
Game hay,5
Game chơi combat như con ku,5
ghép team như c,1
game lòn,1
ko chơi nx,1
game rác,1
hay,5
game rất hay skin mượt lực rất thích mn nên tải về chơi thử nhaa,5
"Game này nó dùng thuật toán ghép đội . Nghĩa là bạn thắng 6 thì bạn gặp liên tục 5 trận thua sau đó . Nếu không ghép người cùng cấp, thì phá game tiêu cực. Nói nôm na bạn chơi 11 trận thì thật tế rank lên có 1 sao thôi Sau đó khi thấy bạn thua 6 7 trận , hệ thống ghép cho bạn với Bot lại cho bạn cân bằng tâm lý. Họ đang làm mất thời gian của các bạn. Tôi nghĩ nên xóa game này để dành thời gian cho game mang tính công bằng",1
tot,5
game như c tem afk mà cũng bị trừ sao,1
rác,1
game hay cực mỗi tội set rank,5
"sự kiện cập nhật liên tục,lag,đứng máy luôn,trong khi ghép như c, cập nhật mấy cái khác,còn ghép y nguyên,ghép toàn trẻ trâu,toàn để tôi gánh,game làm ơn cập nhật cái tính năng ghép đi hả cập nhật sự kiện,đánh giá của đa số 1 sao mà game ko sửa toàn ra mấy cái skin gì đâu,vấn đề cốt lõi là chơi giải trí và đem lại trải nghiệm tốt mà tui thấy chơi là phải chửi,chửi thông não mới hiểu thì lúc đó thua rồi",1
game thì con c suốt ngày chỉ biết giảm sức mạnh tốc biến thì như cái lon vậy cho 1 sao,1
"khá lag so với máy yếu , vgvd không hề lag như liqi",1
game chơi hay lag mong garena tối ưu các điểm,4
Hay,5
chơi vui lắm,5
🥺,5
chơi toàn kid afk,3
"game rác, chơi toàn ghép đội ngu",1
"GAME ỨC CHẾ , HÚT MÁU NG CHƠI , RỒI LÀ HỨA SỬA ĐỔI NHƯNG KO HỀ SỬA , GAME CÒN GHÉP TRẬN NGÁO KO CÙNG TRÌNH, CÂN BẰNG LÀM CC GÌ NGƯỜI CHƠI WIN KHÓ CHẾT MOẸ, LÀM CÂN BẰNG CHI, ĐÃ BIẾT KHÓ RỒI THÌ SỬA LẠI HỆ THỐNG GHÉP ĐI,.. ĐỌC RỒI MÀ KO HIỂU NỮA THÌ LÀ NHÀ GARENA RẤT LÀ NGU VÀ ÓC CHÓ",1
game ghép ng.u ko hiểu đc,1
game càng chơi càng hay nha :),5
chơi toàn th ngu cho,1
bị quăng vài v,5
"game ko hay, đồng đội đánh hơi 🌽, ghép trận lâu và ghép toàn phá game, mong nhà làm game chỉnh sửa lại, Cảm ơn.",1
"game thì lag sử dụng GB thì nhiều làm lag cả máy, báo cáo thì không duyệt, hack tràn lan, không biết đọc đánh giá, game càng ngày càng tệ rất tệ 👎",1
vô chơi thì lag chọn tướng ko đc vô trận còn lag hơn trừ uy tín tui liên tục tui quá mệt mỏi rồi mong ah gà điều chỉnh cho đừng lag nữa ạ tui c.ơn,1
khá hay và ok nha,5
game ghép rank toàn sv sợ ng chs thắng à,1
ý thức người chơi chưa tốt nhưng mà sếp team kiểu gì vậy,5
vui mặc dù thua k hà,5
game toàn hack,1
hay vl lúc chán có thể chơi,5
chơi đồng đội ngo như cot,1
bị thua quá,1
dăm ba mấy cái CNY,1
hay,5
mùa này chơi team AFK 1 NGƯỜI thì cả nhôm đều mất sao.chơi xuất sắc cũng bị mất sao. chơi vừa kết thúc trận thì bắt mở gương thưởng một lần 2 đến 3 lần quá mất thời gian và dung lượng.mong nhà quản lý xem xét và đề chỉnh lại,3
ad cho hỏi là vào game thì tai phone nghe bình thường nhưng vào trận đấu bật mic thì lại phát ra loa ngoài là sao nhỉ đã làm đủ mọi cách rồi. dùng tai nghe có dây thì bật mic trong trận nghe bình thường,2
game cc,1
game chó chơi,1
"ghép trận như c, lệch rank không gặp toàn lũ óc chó trình thấp không, đi đơn gặp đi team 2 team 3",1
game đã khóc tôi rất hay,5
"toàn gặp mấy thằng chơi ngáo feed 5,6 mạng",1
chs vui,5
"buff bẩn quá nhiều,ghép team thì toàn trênh lệt cấp bậc với nhiều thi toàn gặp kid với mấy đứa còn thua cả máy, mà còn ghép với mấy thằng ngáo còn trong thi đó bên địch toàn biết chơi, cập nhật như cái quần mạng trong game liên tục xuống rồi lên rồi lại xuống ko chơi được gì, nhiều đứa trong game thì phá với afk ko với lại lúc tố cáo thì lại ko bị gì trường hợp này càng lúc càng nhiều, đôi thi máu với dame của mình thì yếu một cách ko thể lí giải, vấn đề mạng yếu trong game sửa hoài vẫn như cũ",1
"game hay đa dạng, nhiều sự kiện free tướng xịn nói chung là hay đáng để chơi",5
làm máy đơ màn hình r còn cảnh báo ghép muộn ăn cướp còn la làng,1
chơi game vui,5
game dễ chơi hay,5
cập nhật xong cứ hể vào trận là văng game mất xong lại vào thì bị trừ uy tín mẹ rồi...lỗi vl làm chán,1
Tao đề nghị nhà sản xuất game nên cải tiến lại game 1 nếu có đồng đội AFK mà thua không trừ sao người khác và nếu thắng cộng thêm sao 2 những thành phân chết nhiều và phá game phải trừ quy tín trên 20 điểm,2
rất hay,3
game hay và vui.....,5
hay,5
rác,1
gem như đb văng game bảo tao afk trừ 5 yu tín ko chơi đc ranh có chịu vô cùng,1
ghép toàn bọn ngu à,1
game bank nhiều trường hợp không hợp lí ai chơi k nên nạp nhiều kẻo hối hận,1
honor win rt còn k hỗ trợ lên fps cao thì chju cái game lác này rồi,1
t chs cho có =))))),3
vào game rồi lại bị đưng yến màn hình không bấm được gì hết,1
game hay và vui 5 sao chắc chắn❤️,5
ok,5
tốt,5
"cập nhật lần này lag quá, xóa game",1
game như c đi rank đồng đội ghép toàn mấy thk trẻ con xong team bn thì như tuyển thủ,1
rác,1
hệ thống ghép trận mang tiếng cải tiến ghép toàn ắc cọc chưa kể toàn bọn rank cao mà đánh thua rank bạch kim,1
ghép trận ko tương xứng nha team mik toàn súc vật team bạn uy tín quá team mik thì 2 hoặc 3 thằng ngu tôi ko phải người chơi tệ nhưng một ngày dânhs 15 trận thì có đến 13 trận gặp bọn ngu thì cũng bức súc chứ geam nhue lol á bực thật sự nạp thì ưin ko nạp thì los như lol ấy mất tong 20tr mé cay,1
ghép cho tao toàn sv game đồng đội ngáo còn kêu đánh ko nghiên túc trừ uy tín của tao nữa cày gần lên kim cương giảm xuống bạch kim 2 0 sao ai chịu nổi,1
game giết thời gian khi chán rất ok,5
"Game rác quá rồi, ban ko lý do",1
"Con chó game như đc lập trình sẵn, t cứ win đc 1-2 ván thì m cố tình ghép cho t toàn team sv làm t mãi đ lên rank đc, t thề m sẽ đ bao giờ có 5 sao từ t trừ khi m xem xét lại cách ghép team của m",1
game ép người chơi thua,1
"game rất tệ , ở nhà dùng wifi có 2 cái điện thoại , 1 cái thì dùng bình thường 1 cái thì dô trận thì lag đứng ngoài sảnh , xong trận ra tính afk",1
Hay,5
game rác ghép chênh lệnh thua liên tục gặp sv,1
cũng hay,1
Game hsy,5
"mong anh gà ghép trận công bằng với toàn sv và phá game,anh gà ko thể cho những người ngang trình mình đc à,khi nào cx ghép trúng chi mô á mong anh gà lm cho ghép trận và ghép đội công bằng hơn nhé",1
"tệ, cần thay đổi chế độ ghép cặp, trừ sao acc cày thuê và chống hack.",1
vuiii vãi,5
"game mạng bảo ổn định nhưng chơi thì lag, game chơi thì toàn hack map",1
rất tệ lag game như lon,1
game không hề tạo áp lực cho tôi game rất hay tôi chấm 10sao,1
"đánh cờ chán chê xong thì cho mất kết nối, không tính điểm, mất luôn cả lịch sử đấu. tối ưu như....",1
trải nghiệm quá kém ghép trận gặp đồng đội phá game,1
A gà ơi mở thêm thời gian mở bán Nova 20/3 -> 28/3 đc ko ạ em ko tích kịp 😇🙏,5
game cho sv chơi,1
game xếp team như cái db game định ko cho ai lên rank hả,1
ghép trận tầm bậy,1
game toàn ghép phải sv,2
"game k thấy giải trí, chỉ ức chế khi thua chuỗi đậm từ 10may trận trở lên vì ghép toàn mấy team xàm k cân bằng hạng nên lại tiếp tục thua, nghĩ sao kc đánh nổi vs TA 1",1
"game toàn loại súc vật 4 chân không còn team bạn đánh như tuyển thủ ,ghép toàn thành phần phá game buff bẩn ko mong game pick lỗi đó Ạ ☺️",1
game như cak cơ chế ghép người với thú,1
ghép trận lệch trình vãi l,1
"chs không đc vào rồi bị đẩy ra,làm cày chục trận vì bị tố cáo ức chế vl",1
"game j vậy tr? đang đánh bình thường cái bị văng out ra vào lại tải lại từ đầu lag như con chó trừ uy tín như j buff bẩn lăng mạ tố cáo trừ 2 -3 ủy tín ,tố như ko tố🥰🆑 game càng ngày càng tàn 🆑",1
chế độ ghép trận công bằng quá ha? đại cao thủ 4 ghép chung với tinh anh? đánh thế nào được với ng lệch rank như v?,1
game nhái vinh giả cùi bang bang top 1,1
xếp đội như qq,1
"CNY + hiệu ứng 3s tối thượng bậc cao nhất cao mà làm cho có, cắt hiệu ứng skin chuyển giao",1
game lag quá,1
"game tuy lag , nhưng các sự kiện rất vui 😊 ,mong nhà garena cho người trên 18 chơi thôi mấy bé chơi trừ uy tín nhiều quá 😭 . cân bằng tướng chưa được đúng ý lắm 😔",4
ok đấy,5
hệ thống ghép trận ko công bằng,1
phiên bản mới éo vào đc garena luôn,1
Đg chs thì bị giật văng game k ấn đc mà tôi dùng IPhone 13 mà cứ bị như tình trạng trên,2
"nút báo cáo sau cập nhật vô dụng quá ,báo cáo thk afk mà vẫn báo là đang điều tra??",2
game đánh đơn đại cao thủ mà lại trung tinh ah,1
game muốn đuổi người chơi đi à,1
game càng ngày càng lag vô trận thấy tầm 3-4 người dùng skin 3s là y như là combat là đt đơ với nóng,1
game thì lag đeo cả đánh được lính,1
Quá tệ,1
ko biết ghép tem,1
hay,5
game thấy thắng ghép cho mấy thk óc bò ko,1
chơi 10 trận game ghép cho tem chán toàn người fix mạng không tố cáo được từ tinh anh 1 xuống tinh anh 3,1
game càng cập nhật càng lag chán,1
lỗi tùm lùm ko đăng nhập đc yêu cầu sửa. gấp,1
hay,4
con game rẻ rách,1
game vui nhưng dễ gặp phá game,4
Vì anh gà cho 999 qh nên tặng anh 5 sao,5
xem chung cũng ổn mỗi cái hơi lak,4
Rất hay,5
cố lên nha,5
ok,5
có 1 sự thật là game sẽ ghép cho team rất ngu để giữ chân ng chơi 😺☝️,1
game bn vo rồi mà nó ko tính,1
được chuỗi 3 là auto 10 trận tiếp theo thua hệ thống ghép quá tệ từng chơi tận 3 năm giờ thì đúng là ko hợp,1
game l,1
hay vcl,5
Games rất hay,5
chơi hay á chỉ là ghép trận đôi lúc gặp rank cao hơn mik thôi,5
ko bằng 1 góc mlbb,1
Game xếp ng chs rất ngu,1
nice,5
garena ơi.Cho ra chế độ 4 v 4 đi,5
ghép trận chán thế,4
"Hệ thống ghép ko công bằng, cứ ép thua cho bằng đc. Chơi bị vả liên tục, mấy ván trước ép thua nhưng vẫn thắng, ván sau bị hội đồng liên tục, rồi thế lấy đâu ra tiền mà mua đồ. Chơi hỗ trợ lỡ thua phút thứ 4 thì bị tố cáo rồi trừ uy tín. Tính ra bảo vệ Mid bị hội đồng mới chết tự nhiên bị tố cáo",1
thk và hay,4
ghép trận thì team mình toàn mấy đứa phá game còn team bạn toàn tuyển thủ,1
ok,5
game rất hay,5
đề nghị game dẹp bỏ cái co chế can bằng hạng đi lên ganh càng cao rep trận toàng gặp phá game với bút ban phá game to cáo thì ko bị trừ sao,1
very good 👍,5
"Game càng ngày càng mất công bằng, thắng được vài trận hồi thua chục trận, chơi lâu một hồi là giật lag, văng game, tướng cần giảm sức mạnh thì không giảm còn tướng cần tăng sức mạnh thì lại không tăng.",1
mẹ ghép trận thì như lol toàn gặp phá game afk ko,1
toàn gặp taem không cân sức.,1
mạng của tôi auto đạt chuẩn chất lượng rồi mà vào game thì lag vs giật giật nx đã thế ra ngòi lại bị văng game ra ngoài thoát luôn game hộ tui luôn mong anh gà hiểu và sửa lại chứ đang chs thì tự nhiên bị văng game bị trừ cx đc 3-6 uy tín,1
game như cưt lag,1
reset máy r nó còn bắt chơi tiếp bố cũng lạy,1
"Chắc game sắp sập r , đủ thứ lỗi , game nặng nữa...",1
"xoá game tải lại mà ko cập nhật lại đc , nhiều khi bị lỗi cái này cái kia",3
mong game ghép trận cho thằng thông minh chứ ngáo thì chịu,1
game ghép team đúng nguu đánh giá 1 sao là phải thắng 1 thua 10 game rất hayyy,1
game như cut thắng đc vài trận r cho ghép toàn mấy đứa não như cak đến khi ghép vs mấy đứa khá hơn thì deo gỡ nổi nữa,1
hay,5
mỗi ngày một bl 1 sao,1
giờ chơi toàn thua team bạn full cục vàng team mình toàn mấy thg ngu mà chỉ tinh anh thôi,1
"chỉnh tỷ lệ ng chơi cở đó thì nên xem xét lại ha, bắt t gánh chó hay gì vậy",1
game rất đc ko nhiều hach người chơi ko hach ko điểm chê,5
đề nghị gà sửa lại tính năng trong map 1v1 nha khi mà phá trụ đầu mà không bể nhà chính chứ có mấy thành phần vô đẩy trụ khó chịu vãi,1
hay,5
tôi nói thật chơi game đc 6 năm giờ game ghép trận đánh như l toàn gặp lũ sv chơi làm j thà chơi game bangbang còn hay hơn gấp nghìn lần game l không xứng đáng đc 1 sao nên xóa game đi mọi người,1
game ghép toàn team ngu không sao mà chơi hả? bộ mình phải gánh team hả hay sao mà ghép như qq? kim cương mà tưởng đang solo với cao thủ không á ! càng thua càng muốn bỏ game. làm game ác quá! mong sửa lại và khi à nhận qh hữu hạn của skin majza Hi Phi thì không nhận được qh hữu hạn. Xin sửa lại,1
Game rác vcl,1
"thích trừ điểm uy tín là trừ, không phân biệt được đâu là ứng dụng thứ 3 can thiệp và thông báo từ hệ thống, không ngăn chặn được người dùng hack, giao tranh là không điều khiển được xong cớ lý do cố ý thua trận,chúc tết Việt Nam không chúc, đi chúc Trung Quốc",1
"kì cục dạ chời,đăng xuất chơi 2 acc cũng ko cho nữa là sao",1
game rất hay tôi đã mất 2 máy sau mấy trận thua,5
game hay 10 điểm,5
hỗ trợ rồi teme report liên quân không xem trừ uy tín luôn ( BUỒN ) geme bị dì không à chơi không thắng toàn thua,1
cơ chế ghép team muốn người chơi thua,1
chơi hết sức để ko thua nhưng bị tố cáo cố tình thua bây giờ còn 81 uy tín nhưng vẫn thấy hay lên cho 5 sao,5
vừa vô tr mẹ bảo mua đồ mong ad fix🐧🐧🐧,5
hayy rấtttttttt hayyy,5
rubish,1
hay,5
bị lỗi là sao m,1
tôi chơi liên quân được 4 năm r và tôi rất thích nó,5
"tối ưu đồ hoạ kém, rất nhiều lỗi , cơ chế ghép đấu ko cân bằng ,không lắng nghe góp ý của người chơi",1
"Game hay, nhưbg hơi lag",4
"Sản phẩm game của các anh khá là tệ, có nhiều thành phần xấu làm ảnh hưởng đến trải nghiệm của chúng tôi như: buff bẩn, hack game,... tràn lan. Theo tôi thấy bên Timi chả có biện pháp khắc phục nào cả mà chỉ toàn ra những sự kiện mới để đè nén lại những thành phần xấu. Các anh có thật sự lắng nghe người chơi không vậy? Con tôi chẳng thấy những cải thiện tốt gì bên các anh cả. Mong bên Timi đã lắng nghe ý kiến của tôi!",1
"W5 vẫn bth, nhưng mỗi lần ghép 5 hay đấu hạng thì đều bị out game...",3
chịu cái game rác,1
ghép toàn sv,1
cái game rách,1
game nhu c,1
"game vô đấu hạng hoàn toàn chênh lệch mức rank , rank mới tinh anh 3 thôi mà t gặp cao thủ , đại cao thủ gặp cục đỏ cục vàng top bạng xếp hạng nó quá chênh lệch rồi với ghép gì đâu toàn team phá trận không. Chơi 6 trận mà thắng đúng 1 trận còn lại thua không á. Chê luôn ấy",1
Zui,5
rất hay,5
vui á:),5
chơi hay nhưng trận cuối lên hạng ghép toàn phá game,4
Not10 đôi khi còn hơi lag nha👍,5
rất hay,5
game đang chơi thì tự xóa 1 phát rồi lại trừ điểm,1
game Như lờ ghép toàn gặp team gà nói chung là như lờ,1
game hay mà chs toàn thua chuỗi 10 15 ko vậy lấy đau ra cảm guacs chs game,1
ghép team quá chán,1
game ghép cho team không hiểu ý toàn mấy thk lệch trình lệch rank mong game trả lời ngay lập tức về vấn đề này,1
game rác ghép trận toàn gà,1
gặp toàn hack map,1
chos game .ghep trận như l toàn gặp trẻ trâu fixx chục mạng toàn 0/8 0/9 . fix vấn đề tiền thì nhanh lắm .game ngu như bò thua cả chục trận dell lên nổi,1
Chán,5
"Game cập nhật là lag vì nó bị file trồng, trồng file. Người thông minh thì gỡ cài đặt, bắt wifi tải lại, nó hết file trồng lên không lag nữa. Mà cập nhật nhiều làm gì !? ứng dụng cập nhật nhiều, tăng nhiều bộ nhớ GB hơn. Gỡ đi cài lại bộ nhớ nhẹ hơn !",3
yêu cầu game không ghép tôi với động vật,5
"xuyên tạc lịch sử, bảo mật kém. sập đi",1
"chơi game toàn gặp team giống máy, nhưng team nó thì toàn như tuyển thủ và team mình toàn gặp phá geam",1
quá cuốn,5
Garena làm việc kiểu gì vậy ? chơi mà cứ ghép bốn đứa súc vật còn bên kia nhu tuyển thủ + 1 máy rủ bạn bè xóa,1
tăng xức mạnh bijan,5
"Yêu cầu kính gửi tới game"" Garena Liên Quân "" thêm phần để xoá hoặc tắt hiệu ứng chuyển động ở sảnh tổ hợp thành công. Nó mỗi lần cập nhật càng lag dễ bị đơ rồi mất 1 uy tín, không nhiều nhưng gây căng thẳng và trải nghiệm khoong vui. Điều này thường xảy ra ở máy yếu hoặc máy đời cũ. Mong nhà phát hành game có thể "" thêm phần xóa hoặc tắt hiệu ứng chuyển động (ở tổ hợp) thành công trong phần cài đặt hoặc phần tải dữ liệu game. Cũng mong nhà phát hành đọc đến, xem xét và thêm. Cảm ơn",2
Good,5
hệ thống tố cáo dù đã tốt hơn trước nhưng cần nâng cấp thêm với các bản hack,4
game rác ghép lệnh rank,1
vẫn thế,2
tạm dc,3
"game lag, phá game, và vô vàn cái tệ nạn ko kể hết. yêu cầu coi lại hệ thống báo cáo và lỗi vào trận ảo trong đấu rank nếu gem ko khắc phục được những cái lỗi nặng như vậy thì chúc gem chóng sập.",1
game tệ. những người vào leo ganh toàn gặp người af . trừ điểm trừ sao. còn lũ af thì đầy ra đó. còn mình đang leo ganh mạng kém lại bảo af phạt k cho chơi game chó gì thế.game này nhờ đi chung mới thắng được mà gặp toàn lũ đi lẽ phá ranh chơi càng lúc càng thấy xl game,1
"Dame , gánh chịu , kda , vàng , giao tranh tổng , t đều đứng đầu team mà chấm mvp t đứng hạng 2 khônghiểu cái game l này chấm như nào nx",5
"mong game cố gắng sau cẩn thận,khắc phục lỗi ạ",5
bớt thua nhiều là ok,5
lúc nào chs cx gặp phá game hoặc khịa ko vui,1
Rất tệ Ghép taem rất lỏ,1
đồng đội như máy,1
đồng đội afk cả trận mà khi báo cáo thì lại là không vi phạm ?,1
Làm ăn ở Việt Nam mà cài cắm CNY 🙂,1
Chinese New year hả mậy,1
10đ,5
đồ độc ác,1
ez,5
"xếp đội hình đếch thể nào chấp nhận! 4 đứa đồng đội kh bao giờ đánh đc tí nào, gánh gần thắng thì lại thua",1
0 tính năng giảm lag 0 cài đặt NGỪNG TẢI TRIỆT ĐỂ.sao không làm danh sách tải có thể tự điều chỉnh thêm đi. sk biết là hay là đẹp rồi mà nặng quá có chơi được đâu.game 8 tấn tải toàn mấy thứ tôi còn đell thể có. tướng ko tải đi tải skin 30p đợi để chơi 1 ván 5 cục xanh xanh đấu 5 cục tím tím.mấy con linh bảo cũng sửa sửa đi nhá để nó free chat rất vô văn hóa,1
sao hok thấy nút cập nhật vs chs hay bị laggg mong sẽ khắc phục,3
games lâu lâu bị gì á,3
vip vui,5
Chơi vui ghê hihi chơi phải có người mạnh kèm người yếu thế mới vui games nhiều.tài nguyên quá chơi hay bị lag mà đang chơi lại tự mất kết nối trong khi đó mạng của tôi vẫn bình thường game ngày càng nặng giật kinh khủng tôi đánh giá chỉ 1 ☆gì trời đang đánh bị văng liên quân như này ai chơi mang thì căng mà văng không hiểu rồi lại trừ uy tín . năm 2026 có 5G mà cứ vô trận là bị đẩy ra vãi cả game,1
game chán ko làm cho những máy yếu chơi chơi game thì cứ bị lag và bị đơ lại còn lảm ảnh động ngoài sảnh ai cần vậy alo game bộ mấy người làm thấy ai cũng có máy mượt hả:(<,1
Hay quá,5
chơi toàn thua ????,1
không biết hệ thống garena làm ăn kiểu gì. tôi chỉ thoát acc chính và chuyển sang acc phụ chơi nhưng khi chuyển sang acc chính lại thì lại bị báo sai mật khẩu mặc dù tôi đã thử rất nhiều lần mong game sớm khắc phục lỗi này vì nhiều người cũng đang mắc phải,1
"gặp phải đứa phá game nhưng trong lịch sử đấu của nó ko có? tố cáo không được, làm ăn chán v",1
hay,5
loại game này chỉ cho chó chơi,1
ghép toàn sv,1
liên quân cho tôi con y tá báo lạ đi,5
game hay nhưng mà lúc thua lúc thắng mong khắc phục,4
game mất cân bằng vl. ghép trận như cặt,1
ad gì lv 13 bắng 2 cái 9k dame vậy trời game rác vl,1
